Teks Komentar,Stance
"byk gunanya salah satunya bisa menghukum yg benar,membela yg salah.atau berlomba2 masuk parpol,JD penguasa,trus ngerampok",Neutral
INDONESIA CEMAS,Neutral
itu paling cuma ekor ekor ny doang wwkkww. anggota inti BEM UI nya gak ada yg nongol,Neutral
Bodo amat malah fokus ke itu,Neutral
Ngomong apa si?,Neutral
ada apa ??,Neutral
maaf nya tidak tulus tuh,Advocacy
"iya yg cukup transparan sama kasus SA masih ui. kampus PTN lain malah masi melindungi pelaku dan menghukum korban, sedih tp kenyataannya begitu",Advocacy
Buat bisa masuk kantor dpr sih kebanyakannya,Neutral
"ipb juga barusan pada speakup tuh kak, sama parahnya juga anjir",Advocacy
Do itu apa ka,Neutral
"ohhh, ok thx infonya👍",Neutral
Jawabannya sama semua minta maaf atas kesalahan tapi kagada yg mau sebutih kesalahan detailnyaaa bjir🤣🤣🤣 sampai jam 4 gw nonton,Advocacy
"​@BayuWirgiawan-vn1xwdulu rektor UI komisaris BRI. Mulyono yg ngangkat. Loe dach, 😅",Neutral
"gada dosen dalam group tsb,yg ada dosennya jadi korban pembahasan mereka",Neutral
lagi sibuk ngirim proposal buat gerakin demo politik,Neutral
"pertanyaan yg sangat dungu. ibarat kata suami mau pindah kewarganegaraan, trus tiap hari lihat kasus berita pelecehan. apakah setelah lihat itu dia masih mau pindah kewarganegaraan?",Advocacy
"di DO truz diproses hukum seadily adily tnp mndang spapun jbtan diblkangy...hrus tranfaran hukum berlaku biar jera, jujur,ak sbgai ortu dri dlu blm bsa msuk UI mga ankk tpi dgn kasus ini,ak g mau masukin ankk dikmpus ini.",Advocacy
"@ihwatiriskiya8947 Jurusan ape dulu? kalau jurusan pasaran, anak saya juga mampu. Skrg dia kuliah di kampus lain IPK nya tinggi dapat beasiswa, sekarang jadi Asdos.",Neutral
tausa ragukan me dong lolos maso UI tu😔,Neutral
antemono kakk,Neutral
"jdi mreka itu kyk ada grup chat gitu nahh di dalem grupnya itu merka sering ngomongin cewek"" pake kata"" melecehkan gitu loh. dosennya juga diomongin",Neutral
"Ada yang infokan nama-nama mereka (RanaFilm)
SAY THE NAME PELECEHAN
1. Simon Patrich Bungaran Pangaribuan
2. Muhammad Valenza Rabbani Putra Harisman
3. Irfan Khalis
4. Munif Taufik
5. Keona Ezra Pangestu
6. Dipatya Saka Wisesa
7. Muhammad Ahsan Raikel Pharrel
8. Mohammad Deyca Putratama
9. Danu Priambodo
10. Reynan Fayyaz Rizal
11. Muhammad Nasywan Azizullah
12. Muhammad Kevin Ardiansyah
13. Rafi Muhammad
14. Nadhil Zahran Fernandi
15. Anargya Hay Fausta Gitaya",Advocacy
"waduhhh ketinggalan, aku jam 12 udah ketiduran😭🙏",Neutral
​@malakatan3235wajibkan yang utama mengenal ALLAH SWT dan Rasul-NYA,Neutral
"sekolah tinggi-tinggi, calon penegak hukum tapi melanggar hukum!!! nggak merasa bersalah karena punya bekingan, dan power!! selagi ada beking dan power! hukum bisa dibawah kendali.. tumpul ke atas, lancip ke bawah.. tragissss!!!
minta maaf krna takut digebukin massa sampe metong!!",Advocacy
"Ini sama ajA KASUsnya sama anak Undip yg bunuh diri itu,, Timothy kalo ga salah.....JD satu grup lagi ngomongin kasus Timothy dan dalam grup kan banyak banget membernya,,, JD ada yg jahat yg screenshot..dan disebar .makanya mendingan left grup atau silent reader jika diinvite tp ga cocok dgn obrolannya...skrg tuh jgn bangga gaul gaulan gitu...diinvite ke grup bangganya minta ampun... Tp kita JD tau karakter orang siy...mending ga usah gaul gaulan...intinya kalo mau aman ,, 1 pilihannya: pilih silent reader atau left grup... Lagian di grup atau temen2 yg ada di grup cocok dan baik buat kita... Intinya kalo kata hati kita bilang left grup.. left grup aja deh...karena kdg kadang kita suka keceplosan siy.. tau2 ngomong si A... Sudah ngebahas sampe dalam banget..... Percakapan yg seharusnya  hanya bisa kita ungkapkan ke sahabat kita... Orang yg bisa kita percaya utk Mengeluarkan uneg2 kita ya sahabat kita... Atau kucing juga bisa... Atau nulis jurnal bersyukur dan jurnal mengeluarkan emosi... Temen Lo yg kau kira selevel, sepadan Ama elo belum tentu cocok Ama elo.. bisa jadi dia nusuk dari belakang...mulai skrg pilih2 temen.. temenmu adalah surgamu, keberuntungan dan rejekimu...dan itu temen yg baik yg sudah kita rasakan manfaatnya,,,tp jgn dimanfaatin... Yg penting Lo bahagia, tenang, damai jika berada di sisinya...",Neutral
juicy luicy jugaaa 💔,Neutral
"kasus kekerasan seksual mahasiswa fhui, kamu search aja",Neutral
"kasus pelecehan mereka itu tergabung dlm group namanya basecamp (apa gitu lupa). di group trsbut chat mereka ngomongij soal cwe cwe kampus. omongan yg jorok, seronok, melecehkan wanita, bahkan dosen wanita pun mereka lecehkan. pelakunya 16 orang mahasiswa Fakultas Hukum semua. yg 2 orang turun duluan ngadepin semua mahasiswa yg ngumpul disana dr jam 5 sore ampe dini hari jelang shubuh. krn blama nungguin yg 14 orang pelakunya dilindungi/dihalangi orangtua mereka di lantai atas agar tidak turun tuk bertanggung kawab dan minta maaf. jdlah membuat semakin lama dan semakin emosi para mahasiswa/i disana",Neutral
Diblacklist  aja ini org2 .. Gilaa kalo udah dewasa jadi apa org2 ini dengan pikiran cabul .. FH UI loh .. Kasianbanget orgtuanya .. Emanglebih penting adab drpada ilmu,Advocacy
"Miris melihat situasinya. Mohon para pihak turunkan emosinya. Jika masih bisa dibina, kenapa harus dibinasakan.",Advocacy
Orang tua terpandang dan banyak uang anaknya jadi raja di kampus UI,Neutral
"tapi sayang ya kak, harusnya tempat buat bertumbuh bikin rasa nyaman, tapi malah dirusak sama manusia berhati iblis",Supportive
"Kalo korban malah di salah kan, maka g heran di masyarakat sekarang hal serupa beredar. Orang akademisi hukum nya aja kek gini. Sekelas UI pula lagi.",Supportive
pembicaraan tntabg pelecehan ka katanya,Neutral
belajar hukum apa mesum neh,Neutral
"Menurut aku ya justru kalau mereka tidak DO maka pdgn org ke kampus tersbt kurg baik karna tidak bisa TEGAS dgn HAL HAL seperti ini, bisa saja hal ini terulang kembali, kalaupun akreditasi turun setidknya calon mahasiswa atau mahasiwa yg semntra kuliah bisa merasa AMAN itu bukti kampus trsbt bisa mengambil keputuan yg SEADIL ADILNYA",Advocacy
"Hasil didikan TERBAIK dari tenaga PENDIDIK TERBAIK d INDONESIA,(calon PEJABAT MASA DEPAN)menuju indonesia EMAS 2045,BRAVO  INDONESIA",Neutral
Ayoo kuliah di PTKIN supaya mendapatkan pendidikan Akhlak ❤️,Neutral
"A'uudzu billaahi minasy syaithonir rojiim..
Selalulah..berlindung kpada Allaah dari upaya setan menjerumuskan manusia..😊",Neutral
Unima seharusnya bikin forum ginii🥹,Neutral
aamiin ya Allah yarabb,Neutral
hah?periksa mata deh,Neutral
pendidikan tidak menentukan pola pikir manusia.,Neutral
"@s: tp bikin mereka sadar bahwa perlakuan mereka bisa bikin populasi marah :( mungkin stop nyalahin reaksi orang dan salahin pelaku nya aja.. gapapa marah, dengan marah kita jadi stay true to our emotion",Supportive
kakk sama lagi😭,Neutral
"Begini mau menjadi praktisi hukum? Makin hancur ini negara, do kan sj mereka",Advocacy
"Aamiin, semangat kak!!!",Neutral
"jangn takut syangg,laporkan bila ada yg seperti itu",Supportive
pulang lu dicariin isal 😭😭,Neutral
Kata dosen nya gabisa sembarangan do kak. ak nonton live nya jam 2 pagi,Neutral
Fakultas hukum UI lagi .kendatipun bersifat guyonan tetapi kalau sudah sampai ke mesum itu sudah tidak pantas .dan harus di DO dan harus mempertanggungjawabkan didepan hukum pengadilan negeri,Advocacy
amin kak doa terbaik yaaa🥰,Neutral
jadi mereka bikin group chat khusus buat pelecehan gitu kah?,Neutral
Di DO aja sbg hukuman bagi mrk.. masih banyak mahasiswa2 lain yg lbh baik pastinya dan LBH ber adab,Advocacy
"maaf ga ada gunanya sialann, benci bgt gw",Advocacy
sama sama bejadnya pelaku dan korban.munafik.!,Advocacy
kataku coba ditonton yg bener vt ini biar gak salah phm,Neutral
"Mental oknum dosen pada bobrok, yang merusak masa depan generasi muda harapan bangsa, tangkap dan adili biar ada keadilan pendidikam hukum",Advocacy
PENDIDIKAN TINGGI DAN UNIVERSITAS TERKEMUKA .. MASIH BEGITU JUGA.!?,Advocacy
Ayo viralkan,Neutral
laporin juga pidananya ke polisi ya,Advocacy
mirip brr brr patapim,Advocacy
"​@Izin-b2z tau tuh, bosen denger semua hal dari isrewel semua. Kayak bumi ini cuman ada isrewel doang 😂",Neutral
ngakakk nduuu,Neutral
Jadi mereka tuh ngebuat grup yang isi chat nya tu pelecehan terutama buat cewe,Neutral
Ancur ini indonesia..,Advocacy
hugg buatt semua wanita di seluruh Indonesia ini🫂🤍,Supportive
"katanya itu emg group dari jaman mereka maba ka, trs mungkin udh bnyk yg leave group, nah mungkin jd kaya semacam group circle/group nongkrong gitu",Neutral
"geblek.universitas unggulan kok bgtu,bikin malu semuanya",Advocacy
Aq gk ngerti ini mslh ap,Neutral
"Bagaimana kasus ini mencuat di media sosial?............. sampai akhir nggak cerita atau kronologi kejadian, saya nunggu lho ternyata nggak ada uraiannya.",Neutral
"@. ۫𝜗𝜚 ‧˚:@desty:like 2 days ago (or idk) a law school group chat from the top uni in indonesia got leaked and they were sexually harassing their classmates, professors, even students parents its honestly disturbing",Neutral
bner anjr plis kasi tau🥰😭,Neutral
"Meskipun saya tidak kuliah, tapi saya di didik orang tua untuk mejujung tinggi adab dan tutur kata",Neutral
harus diadili dengan tegas,Advocacy
ISI juga termasuk gaj si,Neutral
"Makanya kuliah di UGM, biar bisa jadi press..🤐",Neutral
"Berdasarkan UU No. 12 Tahun 2022 tentang Tindak Pidana Kekerasan Seksual (UU TPKS), pelecehan nonfisik seperti catcalling, komentar seksual, atau kata-kata tidak sopan yang merendahkan martabat seksual dapat dihukum penjara hingga 9 bulan dan denda hingga Rp10 juta",Neutral
"gokil, gokil, kalau dibiarkan yang tadinya cuma bercanda jadi rencana terus kejadian and korban nggak dapat keadilan karena backing mereka banyak. Ya saya sih hanya bisa mendoakan hal seperti ini tidak terjadi ke anggota keluarga anda.",Neutral
"Downfall apa itu artinya Kejatuhan/kehancuran ? Kantas : kantin atas ? 😅
Istilah anak jaman sekarang ada ajah, apa itu artinya mba ... ?",Neutral
"Masa ada isi chat mrk blg “klo chat ini kesebar, selesai. Terjadi kekosongan jabatan di FH. Kita ini dprnya FH” dih jijik bgt bacanya🤢🤮",Advocacy
tujuan boleh kesana krn pasti kampus juga ngajarin yg baik tp sisanya balik lagi ke lu mau dipihak mana baik atau buruk..,Neutral
gua bangun jam 2 pagi masih dan berangkat kerja jam set4 juga masih live,Neutral
"klo perempuan yang ngomong pelecahan verbal ke laki-laki gmn ya,, apakah diproses juga atau dibiarkan aja.. soalnya banyak perempuan yang ngomong pelecehan verbal ke laki-laki tapi gak diproses.. katanya emansipasi wanita 😅😅",Neutral
Nauzubillahiminzalik,Neutral
ini FH kan? knapa gak proses hukum aja?,Advocacy
"FHUI pakultas Hukum bagaimana nanti menerapkan di masyarakat.
Bagaimana jika sudah jadi pejabat.",Advocacy
mahasiswa bukan bagian universitas?,Neutral
"pernah baca komen orang yg temennya seangkatan sama korban, katanya sih ada info dari bibir ke bibir soal pelaku aslinya cuma sampai sekarang gk ada yg berani buat speak up, pas itukan ada wartawan yg nyelidikin kasus ini tapi tiba2 dia ditemukan meningg4l. mungkin anak2 yg tahu pada takut juga,",Neutral
"@keonho's:@ꮃꫀᥣ᥎ᥙᥙ ꪆৎ:@.:kasus pelecehan mereka itu tergabung dlm group namanya basecamp (apa gitu lupa). di group trsbut chat mereka ngomongij soal cwe cwe kampus. omongan yg jorok, seronok, melecehkan wanita, bahkan dosen wanita pun mereka lecehkan. pelakunya 16 orang mahasiswa Fakultas Hukum semua. yg 2 orang turun duluan ngadepin semua mahasiswa yg ngumpul disana dr jam 5 sore ampe dini hari jelang shubuh. krn blama nungguin yg 14 orang pelakunya dilindungi/dihalangi orangtua mereka di lantai atas agar tidak turun tuk bertanggung kawab dan minta maaf. jdlah membuat semakin lama dan semakin emosi para mahasiswa/i disana",Neutral
ketinggalan berapa abad gw sampe GK tau nih kasus😭,Neutral
"saking Marah nya aku sampai
nangis😞",Supportive
"@Raphaeru:ada juga yang ngelecehin n fitnah gua sama pasangan gua, dan ini dua orang pasangan juga, semua hinaan dan fitnahnya banyak bet. Respon pertama gua shareloc, dan bahkan gua minta acc follow karena akunnya di private gua gabisa chat temennya buat nanya lokasinya rumahnya, gua ajak duel ga berani, gua vs 2 orang ini pasangan bacotin gua sama cwe gua, cwe gua dilecehin banyak kali dengan fitnah2 sm hinaan juga sama mereka berdua. Gimana ya guys kira kira, all evidence is ready for publicity.",Neutral
"itu takdir ..mereka sebelum jdi serjna di bukaa allah ...aib nya,",Neutral
Kalo ini selesai jam 3 beuhh aku ketiduran di jam set 2 ihh dikitt lagi dahal😭😭😭,Neutral
Hahahah iya bgt,Neutral
"yang paling mengerikan karena mereka anak hukum jadi mereka ngerti dan paham kalo tersangka ks diposisikan gimana😭 serem banget gila,gila banget",Neutral
eh kasus apa guys? g nerima joks,Neutral
"DO dari kampus
Sangat membahayakan 
Wajib dihukum",Advocacy
kok ngilang sihh??klo menurut ngana di terlalu gmn² trs apalagi hukuman yg pantas buat mereka?jngn ngilang dong🤣,Advocacy
"Bukan cuma sanksi biasa.. Tapi hajar ade.. Dwmi harga diri kalian... Kalian dilecehkab, koq enak banget koplak nih... Hantam mereka sampai lumpuh... Biadap..",Advocacy
kok sidangnya jam 2 pagi kak? buseh,Neutral
lu nanya gini udh jelas di DO lah kocak,Neutral
Jangankan hukum jaman skrng yang berkedok agama tapi cboell aja banyak,Advocacy
"@fathyganus:kalo seandainya ada 1 group WA bukan anak FH, isinya becanda2 jorok ngomongin 1 orang cewek, tapi candaan itu untuk komsumsi mereka sendiri, tanpa ada tindak lanjutan/kontak fisik dengan seseorang yg dijadikan candaan itu, apakah itu melanggar hukum?
kalo seandainya semua member dalam group itu aktif berkomentar....tapi tidak ada yg menyebar luaskan isi chat, tidak ada tindakan yg melecehkan secara fisik ke orang yg dituju, tidak ngomong langsung ke objek....apakah itu tetap salah.
ini pertanyaan karena betul2 saya gak tau ya,....do not judge",Neutral
baru nyadar kalo ini nanti bakal jadi penegak hukum di indonesia,Advocacy
merinding cok liatnya,Neutral
Intelektual tapi ga punya etika😂,Neutral
kelar jam berapa gais?? ketiduran ngantuk pol,Neutral
lu mau kemana sih jalan bang,Neutral
Paling nanti ui kasih aman . Gakdi sanksi,Advocacy
bapaknya kaya ga perlu kerja 🤣,Neutral
"Kuliah atau gak kuliah itu tergantung pola didik orang tua, lingkungan dan kesadaran diri. Jadi gak usah merasa lebih baik.",Neutral
"pps
pintar pintar sialan",Advocacy
INI ADA APA SIH COBA CERITA IN PLISS,Neutral
"Ini akibat dari hasil sistem pendidikan di Indonesia yang buruk dan rendah ditambah lagi kurangnya pendidikan agama, akhlak dan moral di sekolah..",Advocacy
univ fav ak🥺,Neutral
Maaf ka seleramu buruk sekali,Neutral
"Iya bang jd pembelajaranya kl bahas yg sensitif mending telfon aja yah, bener bgt. Baru sadar, makasih bang udah dibantu spill pembelajaran dr kasus ini. Gak nyangka ada org secacat logika ini😌",Neutral
"makanya integritas FHUI tuh dipertaruhkan disini, mau dipandang sebagai apa dia dimata publik sebagai pahlawan Fakultas Hukum terbaik di Indonesia atau Fakultas Hukum yang akan di olok-olok publik wkwkw karna kita semua tau dekingan org"" itu gimana dan apa pengaruhnya di Universitas dan satu lagi berita ini udh meledak jdi headline news nasional, kita liat aja perkembangan kasusnya kedepannya.",Advocacy
"Buset kak, aku jam 12 an udh ngantuk akhirnya udahin nonton😭😭🙏🙏",Neutral
bakso aci😭😭,Neutral
"Yakin itu.mahasiswa pada pinter2,terbukti bisa masuk ku ui yg notabennya slahsatu fakultas ternama di Indonesia,tapi syang yaaa mereka minim akhlak",Advocacy
Semoga keadilan bisa ditegakkan,Supportive
Rusak sa rusak2 nya KLO mutu generasi muda kek gini,Advocacy
pecat semua yg terlibat,Advocacy
Jarjit singh?,Neutral
"Padahal di grup wa bapak2 atau ibu2 lebih gila lagi...

Bahkan yg komen disini juga KLO lgi ngobrol sama temen2nya pada bukan main tu mulutnya😂😂😂😂...",Neutral
Kenapa si orang orang ga bisa hidup dengan tenang gitu damai damai ajaa 😭😭😭 ad sj tingkah ny,Neutral
pelecehan secara verbal lewat grup wa kak kayaknya,Neutral
"Hasil dari sistem pendidikan 10 th yg lalu, terciptalah manusia pintar tapi tdk berakhlak",Advocacy
masih terbaik ga ya,Neutral
"eh smph apaini, aku ketinggalan 😭",Neutral
Gua nyari nyari dr prtma kasus nya apa bngung juga 🙏🏻 ad yg mau jelasin gk bg 😅 sambil ngbrol ngbrol,Neutral
Korbannya siapa dan diapain. Jangan berlebihan lah...,VictimBlaming
pamer apa curhat nih,Neutral
temen pelaku emng beda komennya🤕🤕🤕,Neutral
"Tak akan leluasa lagi mereka yg terlibat pelecehan ini meneruskan study di  FHUI. Sudah hancur reputasinya. Dipecat saja, agar jadi contoh mahasiswa yg kompas moralnya bobrok, tak meracuni wibawa FHUI dimata publik akademi diluar UI...",Advocacy
"tolong di td/di sensor muka korbannya, fokus ke pelaku aja guys",Neutral
nyesel gw tidur 😭,Neutral
intinya gw ganteng😊,Neutral
"apa.katamya 
Gak ngerti",Neutral
kasian jir,Supportive
"Karena Indonesia dan india adalah saudara kandung sedarah, salam rahayu para jamet prindavan  ❤",Neutral
IQ78 is real 😹,Neutral
"ketika mahasiswa ITS mengembangkan inovasi konversi energi, mahasiswa UI klo ga demo ya ginian😂😂😂😂",Advocacy
Ngabisin duit cuma cuma buat kuliah tapi kelakuan tidak senonoh hadeuh gimana tuh perasaan org tuanya .,Advocacy
Ada apa ya,Neutral
kadang jug orang gila baik🗿😹,Neutral
"Jangan di DO saja, jika perlu di black list,...",Advocacy
plis tadi malam nih jam setengah 2 aja blom clear loh😭🤏🏼 aku langsung ketiduran ga tau jam berapa 🙏🏼😭,Neutral
"dulu jaman gw namanya tes jalur UMPTN jadi bener2 hanya org cerdas yg bisa masuk PTN entah itu UI, ITB, UGM..skrg ada byk jalur salah satunya jalur mandiri yg kalau kemampuan akademis anaknya biasa aja tp ortu nya org berada bisa lah masuk PTN",Neutral
Di sidang spt ini lebih kena dampaknya di bandingkan di penjara.. DO aja dan blacklist biar rasa,Advocacy
"Gen Z memang cakaap nya gk jelas bahasa nya 
Tapi aku suka tobrut",Neutral
"aduhh... moga aja um, umm,ama ub ga kena",Neutral
Cermin bobroknya dunia pendidikan republik lndonesia,Advocacy
Masih kah unggulan???????,Neutral
"Tidak berlebihan koq, ditempat kerja saya itu sudah masuk pelecehan seksual.",Neutral
"samaa, ketiduran akuu",Neutral
"@𝓚ayla’s ꫂ ၴႅၴ:stop komen 'padahal ganteng' dan lain sebagainya. kita gk bisa menilai orang dari ketampanan nya atau gk, kalau salah ya salah kita gk bisa membenarkan apa yang mereka buat.",Advocacy
Haha... UI itu pendukung Ganjar Anis bro... UI anti Mulyono. Jg di bolak balik,Neutral
"Btw secara hukum tindakan mereka ini termasuk pidana gak sih,? Ataau hanya bullying/abuse aja? Masih bingung euyy",Neutral
@meeyaa2373 coba lihat nanti sanksi apa yang bakal diberlakukan oleh institusinya. Siap2 jilat ludah ya.,Neutral
"Ini contoh sebagian kecil.
Krn pada dasarnya smua fakultas di Indonesia mmng mayoritas mesum ajarannya,,,
Beda2 tipis dgn kuliahan di eropa dan Amerika yg melegalkan seks bebas.",Advocacy
"Maksudnya, ko bisa ketahuan.. apakah di group bocah2 itu ada wanitanya. Atau slh 1 dari mereka ada yg pgn jadi pahlawan dengan mengunggah chat teman group nya di X dengan nama anonymous? Ya senjata makan tuan dong kena semua..ga jelas",Neutral
Segera Wajib DO seluruh Mahasiswa terlibat dan Pecat Pejabat terkait harus dibui !!! UI Harus Tegas punya integritas !!!!!!,Advocacy
ks lwt grup tu maksudnya Secara verbal ya?,Neutral
ks itu apa,Neutral
"pas awal2 live pas yg turun baru 2 orang, klo yg di vt ini mah jam 1-2 an pelaku turun semua",Neutral
anak FH pula katanya 😭,Neutral
kronologinya apa woy ketinggalan ni kasih infonya dong,Neutral
iyaa kann anehh diaa yang nyebarin foto bugii terus yang disalahin siapaa,VictimBlaming
Udah kebanyakan Mahasiswa di Konoha gak jelas lulus mau kerja apa??? Banyak perusahaan pindah ke Vietnam,Advocacy
"kampus lain jg ada cm ga di up aja, ugm kmrn jg ada. bisa bisanya blg UI doang yg byk kasus 🤣 UI jg milih milih kali mau nerima lo",Neutral
"iya lagi, makanya kadang org yg keliatan diem kadang justru aslinya lebih parah",Neutral
kalo ga ketahuan gaakan pernah minta maaf kak,Neutral
Do semua yg yerlibat,Advocacy
Lagi sibuk ngitung nasi bungkus,Neutral
"banyak akun kak, aku sampe pindah pindah akun karena banyak live yg katanya disuruh dimatiin. tpi kalo yg aku tonton tdi malem paling lama itu ""dikidoy""",Neutral
"Bener banget kak, menurut ku juga gitu karna sinyal nya rebutan sama yg lain",Neutral
aku juga sebagai cewek sedih banget sumpah,Supportive
13 reasons why fr,Neutral
Kalo Rusak Ya Rusak Aja. Alumninya Pun Banyak Yang Bikin Ulah. Sitem Pendidikan Juga Ga Berani DO.,Neutral
klo ga demo ya ginian😂😂😂😂😂,Neutral
"rezim prabowo ga pandang siapa beking dia, kalo bersalah siap siap pecat, dan keluarga nya siap siap di audit!",Neutral
whaahahah😭 iyalagi,Neutral
"Aku liat vt udah bingung, liat koment tambah bingung lagi , krna gak ada yg tau masalah apa😭",Neutral
"Knp dosen dan dekan tdk pernah tau masalah ini ya heran sih . 
Paling tdk suka sama senior yg sok hingga bikin Maba trauma . 
Proses hukum hrs berlaku ...",Advocacy
"tolong yg mengerti voice di chatt trsbt😅,sy kurang bisa nangkep ap maksudnya",Neutral
Yang ITB belum lihat? Malah dibikin lagu tuh 😕,Neutral
LAH?MILEA DOSEN??,Neutral
"DO... UI dipermalukan sm mahasiswa kebanggaan nya sendiri, langsung DO ga usah ada birokrasi yg berbelit ""...",Neutral
Mereka tau gak lahir dr mana? Gak usah muluk2 bayangin kl yg dilecehkan ibu yg melahirnkan kalian.,Neutral
telatttt...,Neutral
"gk ngerti plis🙏🙏, tolong jelasin? 🙏",Neutral
Pasti kagak di hukum.. Anak aparat😂,Advocacy
"Paling heboh-heboh 1 minggu. nanti kan ada berita MBG beli kaos kaki supir  4 miliar, Trump kumat, abis itu  ya pada lupa. Mereka bisa pelecehan lagi,yang penting rame-rame supaya lebih aman. Mustahil di DO karena pengaruh ke akreditasi.",Advocacy
jangan lupa yg lg rame di X ada dua kampus d Jatinangor juga😆,Neutral
apakah ini yg pertama kalao bukan kenapa baru ini yg terekspos 😂,Advocacy
"udah liat isi chat nya dan WAAAAW😳
maaf aku salfok Andovi gak keringetan😳😳😳",Neutral
Apa sekarang udah gak terbaik? Wkwkwk,Neutral
Masih belum deal kak tadi sampe jam 3 rapatnya wkwk hasil akhirnya hari ini kak🥺🥺,Neutral
"Gaada yang membenarkan, perasaan itukan muncul darimu sendiri",Neutral
Nah tau kan kenapa hukum Indonesia bobrok? 😅😅😅,Advocacy
"Astaghfirullah...... nauzubillahimindzalik
Sekelas fakultas hukum UI mahasiswa ny kayak gini",Advocacy
"nggak ada niat niat, klo nggak lolos jangan berharap, cari kampus swasta",Neutral
Mau dibawa kamana. Lanjutannya ini,Neutral
"Lihat kondisi hukum sekarang juga sama, memprihatinkan",Neutral
Masuknya lewat jalur bayar kali. Dibayar pake duit haram jd nya menghasilkan produk2 ga bermoral kyk gini,Advocacy
Bagaimana wajah hukum indonesia dimasa depan jika calon calon pemegang hukum seburuk ini kejiwaannya. Segera keluarkan saja karena tidak berguna,Advocacy
ada full nya ga sih soalnya penasaran banget yang kelanjutan pas dosen nya ngomong,Neutral
"kemarin i mantengin live nya smpe jam 2 aja bnr bnr nangis.. ikutan sakit hati, marah, sedih, stress bngt sumpah.. sick bngt, ga abis pikir. gaada tempat aman buat perempuan, even di tempat buat nuntut ilmu. orang orang yg seharusnya berdiri di depan korban buat jadi tameng malah jadi pelaku. orang yg belajar hukum tapi malah melanggar hukum, miris.",Supportive
