Teks Komentar,Stance
"byk gunanya salah satunya bisa menghukum yg benar,membela yg salah.atau berlomba2 masuk parpol,JD penguasa,trus ngerampok",Neutral
INDONESIA CEMAS,Neutral
itu paling cuma ekor ekor ny doang wwkkww. anggota inti BEM UI nya gak ada yg nongol,Neutral
Bodo amat malah fokus ke itu,Neutral
Ngomong apa si?,Neutral
ada apa ??,Neutral
maaf nya tidak tulus tuh,Neutral
"iya yg cukup transparan sama kasus SA masih ui. kampus PTN lain malah masi melindungi pelaku dan menghukum korban, sedih tp kenyataannya begitu",Advocacy
Buat bisa masuk kantor dpr sih kebanyakannya,Neutral
"ipb juga barusan pada speakup tuh kak, sama parahnya juga anjir",Advocacy
Do itu apa ka,Neutral
"ohhh, ok thx infonya👍",Neutral
Jawabannya sama semua minta maaf atas kesalahan tapi kagada yg mau sebutih kesalahan detailnyaaa bjir🤣🤣🤣 sampai jam 4 gw nonton,Advocacy
"​@BayuWirgiawan-vn1xwdulu rektor UI komisaris BRI. Mulyono yg ngangkat. Loe dach, 😅",Neutral
"gada dosen dalam group tsb,yg ada dosennya jadi korban pembahasan mereka",Neutral
lagi sibuk ngirim proposal buat gerakin demo politik,Neutral
"pertanyaan yg sangat dungu. ibarat kata suami mau pindah kewarganegaraan, trus tiap hari lihat kasus berita pelecehan. apakah setelah lihat itu dia masih mau pindah kewarganegaraan?",Advocacy
"di DO truz diproses hukum seadily adily tnp mndang spapun jbtan diblkangy...hrus tranfaran hukum berlaku biar jera, jujur,ak sbgai ortu dri dlu blm bsa msuk UI mga ankk tpi dgn kasus ini,ak g mau masukin ankk dikmpus ini.",Advocacy
"@ihwatiriskiya8947 Jurusan ape dulu? kalau jurusan pasaran, anak saya juga mampu. Skrg dia kuliah di kampus lain IPK nya tinggi dapat beasiswa, sekarang jadi Asdos.",Neutral
tausa ragukan me dong lolos maso UI tu😔,Neutral
antemono kakk,Neutral
"jdi mreka itu kyk ada grup chat gitu nahh di dalem grupnya itu merka sering ngomongin cewek"" pake kata"" melecehkan gitu loh. dosennya juga diomongin",Neutral
"Ada yang infokan nama-nama mereka (RanaFilm)
SAY THE NAME PELECEHAN
1. Simon Patrich Bungaran Pangaribuan
2. Muhammad Valenza Rabbani Putra Harisman
3. Irfan Khalis
4. Munif Taufik
5. Keona Ezra Pangestu
6. Dipatya Saka Wisesa
7. Muhammad Ahsan Raikel Pharrel
8. Mohammad Deyca Putratama
9. Danu Priambodo
10. Reynan Fayyaz Rizal
11. Muhammad Nasywan Azizullah
12. Muhammad Kevin Ardiansyah
13. Rafi Muhammad
14. Nadhil Zahran Fernandi
15. Anargya Hay Fausta Gitaya",Advocacy
"waduhhh ketinggalan, aku jam 12 udah ketiduran😭🙏",Neutral
​@malakatan3235wajibkan yang utama mengenal ALLAH SWT dan Rasul-NYA,Neutral
"sekolah tinggi-tinggi, calon penegak hukum tapi melanggar hukum!!! nggak merasa bersalah karena punya bekingan, dan power!! selagi ada beking dan power! hukum bisa dibawah kendali.. tumpul ke atas, lancip ke bawah.. tragissss!!!
minta maaf krna takut digebukin massa sampe metong!!",Advocacy
"Ini sama ajA KASUsnya sama anak Undip yg bunuh diri itu,, Timothy kalo ga salah.....JD satu grup lagi ngomongin kasus Timothy dan dalam grup kan banyak banget membernya,,, JD ada yg jahat yg screenshot..dan disebar .makanya mendingan left grup atau silent reader jika diinvite tp ga cocok dgn obrolannya...skrg tuh jgn bangga gaul gaulan gitu...diinvite ke grup bangganya minta ampun... Tp kita JD tau karakter orang siy...mending ga usah gaul gaulan...intinya kalo mau aman ,, 1 pilihannya: pilih silent reader atau left grup... Lagian di grup atau temen2 yg ada di grup cocok dan baik buat kita... Intinya kalo kata hati kita bilang left grup.. left grup aja deh...karena kdg kadang kita suka keceplosan siy.. tau2 ngomong si A... Sudah ngebahas sampe dalam banget..... Percakapan yg seharusnya  hanya bisa kita ungkapkan ke sahabat kita... Orang yg bisa kita percaya utk Mengeluarkan uneg2 kita ya sahabat kita... Atau kucing juga bisa... Atau nulis jurnal bersyukur dan jurnal mengeluarkan emosi... Temen Lo yg kau kira selevel, sepadan Ama elo belum tentu cocok Ama elo.. bisa jadi dia nusuk dari belakang...mulai skrg pilih2 temen.. temenmu adalah surgamu, keberuntungan dan rejekimu...dan itu temen yg baik yg sudah kita rasakan manfaatnya,,,tp jgn dimanfaatin... Yg penting Lo bahagia, tenang, damai jika berada di sisinya...",Neutral
juicy luicy jugaaa 💔,Neutral
"kasus kekerasan seksual mahasiswa fhui, kamu search aja",Neutral
"kasus pelecehan mereka itu tergabung dlm group namanya basecamp (apa gitu lupa). di group trsbut chat mereka ngomongij soal cwe cwe kampus. omongan yg jorok, seronok, melecehkan wanita, bahkan dosen wanita pun mereka lecehkan. pelakunya 16 orang mahasiswa Fakultas Hukum semua. yg 2 orang turun duluan ngadepin semua mahasiswa yg ngumpul disana dr jam 5 sore ampe dini hari jelang shubuh. krn blama nungguin yg 14 orang pelakunya dilindungi/dihalangi orangtua mereka di lantai atas agar tidak turun tuk bertanggung kawab dan minta maaf. jdlah membuat semakin lama dan semakin emosi para mahasiswa/i disana",Neutral
Diblacklist  aja ini org2 .. Gilaa kalo udah dewasa jadi apa org2 ini dengan pikiran cabul .. FH UI loh .. Kasianbanget orgtuanya .. Emanglebih penting adab drpada ilmu,Advocacy
"Miris melihat situasinya. Mohon para pihak turunkan emosinya. Jika masih bisa dibina, kenapa harus dibinasakan.",Advocacy
Orang tua terpandang dan banyak uang anaknya jadi raja di kampus UI,Neutral
"tapi sayang ya kak, harusnya tempat buat bertumbuh bikin rasa nyaman, tapi malah dirusak sama manusia berhati iblis",Supportive
"Kalo korban malah di salah kan, maka g heran di masyarakat sekarang hal serupa beredar. Orang akademisi hukum nya aja kek gini. Sekelas UI pula lagi.",Supportive
pembicaraan tntabg pelecehan ka katanya,Neutral
belajar hukum apa mesum neh,Neutral
"Menurut aku ya justru kalau mereka tidak DO maka pdgn org ke kampus tersbt kurg baik karna tidak bisa TEGAS dgn HAL HAL seperti ini, bisa saja hal ini terulang kembali, kalaupun akreditasi turun setidknya calon mahasiswa atau mahasiwa yg semntra kuliah bisa merasa AMAN itu bukti kampus trsbt bisa mengambil keputuan yg SEADIL ADILNYA",Advocacy
"Hasil didikan TERBAIK dari tenaga PENDIDIK TERBAIK d INDONESIA,(calon PEJABAT MASA DEPAN)menuju indonesia EMAS 2045,BRAVO  INDONESIA",Neutral
Ayoo kuliah di PTKIN supaya mendapatkan pendidikan Akhlak ❤️,Neutral
"A'uudzu billaahi minasy syaithonir rojiim..
Selalulah..berlindung kpada Allaah dari upaya setan menjerumuskan manusia..😊",Neutral
Unima seharusnya bikin forum ginii🥹,Advocacy
aamiin ya Allah yarabb,Neutral
hah?periksa mata deh,Neutral
pendidikan tidak menentukan pola pikir manusia.,Neutral
"@s: tp bikin mereka sadar bahwa perlakuan mereka bisa bikin populasi marah :( mungkin stop nyalahin reaksi orang dan salahin pelaku nya aja.. gapapa marah, dengan marah kita jadi stay true to our emotion",Supportive
kakk sama lagi😭,Neutral
"Begini mau menjadi praktisi hukum? Makin hancur ini negara, do kan sj mereka",Advocacy
"Aamiin, semangat kak!!!",Neutral
"jangn takut syangg,laporkan bila ada yg seperti itu",Supportive
pulang lu dicariin isal 😭😭,Neutral
Kata dosen nya gabisa sembarangan do kak. ak nonton live nya jam 2 pagi,Neutral
Fakultas hukum UI lagi .kendatipun bersifat guyonan tetapi kalau sudah sampai ke mesum itu sudah tidak pantas .dan harus di DO dan harus mempertanggungjawabkan didepan hukum pengadilan negeri,Advocacy
amin kak doa terbaik yaaa🥰,Neutral
jadi mereka bikin group chat khusus buat pelecehan gitu kah?,Neutral
Di DO aja sbg hukuman bagi mrk.. masih banyak mahasiswa2 lain yg lbh baik pastinya dan LBH ber adab,Advocacy
"Amit amit amit ... bejatnyaaaaa, kok bisa lolos keterima di UI Hukum, memalukan fakultas hukum !!! Keluarkan ajaaaa malu2in",supportive
"anakku kuliah d PTN bandung. aktif organisasi Bu, tp Alhamdulillah fine² aja, selama organisasi tersebut mengajarkan tentang organisasi yg baik. berkumpul dengan teman2 yg positif untk arah kemajuan anak² muda. Krn sejatinya dngn anak berorganisasi melatih anak untk menjadi pemimpin yg baik, berinteraksi dengan anak² sepemikiran. kita orang tua sambil mengarahkan ke hal² yang baik..",Neutral
sekelas UI??!,Neutral
Astagfirullah......sangat memalukan kaum intelektual,Neutral
Ini akbit pendidikan pel agamavda akhlak di rumahbdanbsekolahbkirang yg ilmu pengetahuan kurang pelajaran ilmu agama ini pejabat bertanggung jawaban dan pilih Mentri yg cinta pendidikan bukan Mentri berbisnis proyek makanya cari Mentri sesuai dgn keahliannya jgn salah pilih dan jgn pilihbasal karena hutang Budi ini negara yg hari dipimpin oleh orang cerdas pinter beriman dan pendidikan sesuaai keahliannya bukan sogokannkl utk negara,Advocacy
Pecat dan tidak boleh kuliah di PT manapun ....,Advocacy
brti ada yg masuk ui krn titipan donk,Neutral
kak ga espek 😭🤣,Neutral
"itu kalimat untuk mojokin korban pemer*sa*n yang ketika dilevhn dia diem aja kak.
Itu kalimat jahat",supportive
"cari aja ""isi chat fh ui""",Neutral
lawik caper finalyy bos,Neutral
Pelecahan dan kekerasan seksual kak melewati chat kak,Neutral
di grub chat mereka kak,Neutral
kalian jangan hujat dia doang 🥺,supportive
"Mana ada korban sih cuman dikatain doang di ruang private pula. Anak  sekolah juga tau pelecehan melanggar hukum, tapi kalo cuma obrolan bisik2 beda cerita dong. Hukumnya bobrok netizennya fomo.",VictimBlaming
siang ya kuliah kakk. makanya dibuka forumnya sore sampe malem biar dosen pada dateng dan ga ganggu waktu kuliah,Neutral
Revolusi mental yg dihasilkan  kurikulum merdeka  presiden ke 7,Neutral
Mereka ngobrol di grup chat melakukan pelecehan secara verbal thd mahasiswi dan dosen kak . cmiiw,Neutral
Makanya punya otak dulu baru sekolah,VictimBlaming
Udh kuliahnya di UMY aja tp juga banyak yg mahiwal sama ajee.. 😂,Neutral
"ini kenapa jawabanya muter² , tidak terjawab",Neutral
Itu herbal bos🌿🤣,Neutral
iye dah gimana lu aje,Neutral
"Do..kan sj dan black list, jgn sampai mereka jadi anggota DPRD/DPR apa lagi menjadi advokat...! Bahaya sekali mereka..!",Advocacy
"Baru kepikiran sih. Pelaku pelecehan melakukan perbuatan di grup WA tertutup, sedangkan korban melakukan pelecehan di muka umum dan terang-terangan.",VictimBlaming
nonton di mna kak,Neutral
samaa😭😭 kirain ga bakal turun,Neutral
"Berita tolol gini pun harus viral, kayak kehabisan berita bermutu aja 🤣🤣🤣",VictimBlaming
"padahal ganteng"" loh",Neutral
iya ini memang nyata baget cuma di goreng2 doang karna bawa nama ui + buat diskredit kredibilitas mahasiswa yg anti pemerintah.,VictimBlaming
Fakyltas opo kui,Neutral
mereka komplotan pelecehan verbal ka punya grup isinya ngelecehin mahasiswi dan dosen juga padahal fakultas hukum hadehhh,Neutral
fakultas hukum loh ini...ui lagi. Ampun,Neutral
gk ada live lagi?,Neutral
DO aja dan blacklist dari seluruh fakultas hukum di Indonesia. Orang pintar tapi tidak bermoral & beretika tidak layak menjadi penjaga hukum di Indonesia.,Advocacy
"Potret memalukan di ranah pendidikan Indonesia terjadinya pun di sebuah universitas ternama negeri lgi, padahal universitas UI itu banyak melahirkan para pemimpin hebat di negeri ini, pelakunya di fakultas hukum lgi menjijikan,calon penegak hukum cabul...",Neutral
DO semua yg otak kotorrrr,Advocacy
"Pelecehan apapun bentuknya harus diproses Hukum karena sudah ditetapkan dalam KUHP.
Masalahnya apakah para Penegak Hukum mau menjalankan tugasnya, atau lebih sibuk cari buat setoran ... 🤔",Advocacy
masii kakk,Neutral
"30 orang tuh korbannya ga si kak? ada yang bilang didalem grup sebenarnya ada 20 org, 4 org lg disembunyiin kampus",Neutral
mnghukum org² yg tdk bersalah,Neutral
Thankyou udh merangkul korban 🥹💕💕 salut banget,supportive
wkwk masukk kak😂,Neutral
Jujur saya setuju FHUI become next jaksa in Indonesia karena mereka berani mengevaluasi diri mereka sendiri.,supportive
Korban seperti nya bangga dengan tobrut nya,VictimBlaming
banyak apalagi teknik,Neutral
TPI cwok gue lbih gntng hahag,Neutral
iyaaa ada salah satu yg secara langsung di suruh end live kak semalam,Neutral
Bagus terduga pelaku didatangkan dan harus datang. Biar tahu malu dan mikir lbh dahulu sebelum bertindak.  Pelajaran yg seharusnya tidak dilakukan lagi.,supportive
"Dulu ada rohis.untuk mencetka mahasiswa2 yg say no to cabul,.e dibubarin katanya terorus. Terus kalo mahasiswa pada cabul, siapa yg tangghbgjawab?",Advocacy
Gaji nya dari patungan rakyat,Neutral
serius ini di ui??,Neutral
moderator yang baju ijo namanya siapa ya bg,Neutral
suka bgt public speakingnya😭,Neutral
dikidoy sama aja kak,Neutral
itu anak penjabat ya,Neutral
"daftar dulu aja kak, belum tentu keterima kok.",Neutral
"buat yg komen jgn lebay, lemme tell u, case ini bukan krn bnyak atau engga cowo lain yg begini jg, the problem is mereka adl mhs hukum, yg nntinya bakalan jdi lawyers di masa depan.. i mean, wdy expect our future would be kalo calon penegak hukum pada normalize sexual harassment. and yet, mhs hukum di kampus top tier aja masi ada yg begini, apalagi kampus di daerah lain? this is very ironic.",Advocacy
hahaha wjarlah hukum indo kacau smua.trnyata dri awal aja udh kek gini,Neutral
Gw sebagai dosen UI merasa sangat kecewa,supportive
"Saya ingin tahu bang kalau boleh, maksud perkataan downfall-nya ini dimana?",Neutral
"@￴￴￴:@@ও𝑂𝑟𝑎𝑛𝑔𝑖𝑚𝑢𝑝✰:itu mrk ada grub mlchkan mahasiswa ui yg pdhal mrk juga mhsiswa disitu, mrk bilng mrka punya kuasa di kmpus itu bhkan bukan mhsiswa aja yg mrk bhs di grup itu ada dosennya juga, bnr bnr sakit dh",Neutral
ya mending di kluarin aj ga si,Advocacy
lah kenapa emangnya kak?,Neutral
"IKUT SEDIHHH BGTT waktu salah satu ibu dosen nya bilang “pas saya liat grupnya, ternyata nama saya juga ada di situ.” 👋🏻🥹",supportive
"Hallo itu 16 orang, bisa di bilang satu compi, ibarat random simpel itu sudah mewakili",Neutral
Jijik ih dia bahas apa aj plisss,Neutral
mereka pelaku ks kak,Neutral
Mantap ini kakak,supportive
"Yang ini baru satu ketahuan, mungkin masiha da lagi yang belum ketahuan di beberapa kampus terkenal di Indonesia",Neutral
"harusnya pidana , jangan lamban",Advocacy
"jangan menyalahkan yg di tempatinya sebagai menuangkan pendidikannya, salahin yg ngelakuin.",supportive
Apa isi pembahasan ttg ibu dosen nya ka,Neutral
apa ini guys.. ketinggalan berita,Neutral
Semangat mahasiswa mahasiswi FHUI yg ada di forum dan menyuarakan suara kalian. Keren banget public speakingnyaa 🥹🫰🏻,supportive
"salah satu pemicunya mungkin, mungkin ya... adalah angan2 atau hayalan mesum yg melampaui kemampuan diri dan batas kenormalan..😂

mau tau ga cara jitunya??
kontrol dari negara, dalam bidang informasi dan teknologi.
setau saya batas moral dan etika informasi digital global sudah ada garisnya dimana ketelanjangan, pornografi dan porno aksi itu sudah memiliki ruang tersendiri yg hanya bisa diakses oleh platform khusus dgn syarat2 tertentu, contoh paling ringan adalah wajib menggunakan vpn. Nah bagaimana negara turun mengatasi masalah ini? yg paling simple yg harus dan wajib diperbaiki adalah tata kelola digitalisasi data negara terlebih dahulu, karena prakteknya masih banyak data negara terutama didaerah masih menggunakan jasa orang ketiga sehingga ketika ada keterlambatan pembayaran dll, maka akan terjadi hal2 yg tidak diinginkan didlm server yg disediakan orang ketiga seperti spam dll, yg ujung-ujungnya masih harus menggunakan jasa developer lain untuk mengaksesnya agar lebih aman seperti vpn, jika ini sudah bisa dibenahi, artinya negara sudah mandiri dlm masalah data digital, sudah punya big server sendiri, sudah punya domain global tanpa ada campur tangan developer lain, maka pembatasan penggunaan atau bahkan pelarangan dan pemblokiran developer vpn dalam bentuk apapun bisa dilakukan. sehingga tangan-tangan nakal dari para penghayal tingkat tinggi 😂 bisa dimatikan tumbuh kembangnya, dan tentu harus juga didukung dgn penguatan moral dan etika disemua ruang dan segi. 🙏",Advocacy
gregetttt bangett,Neutral
"madura tepatnya bangkalan, deket kok sama surabaya kampusnya juga udah modern",Neutral
korbannya ada kah? atau cuma gosipin korban di chatnya?,Neutral
poin ke 13 ngeri bgt jujurrrr,Neutral
Do your research!,Neutral
ya CARI TAU makanya.,Neutral
"Ya Allah, kalian benar benar anak durhaka yaaa..... Orang tuamu berjuang agar kamu jd anak berguna dan sukses malah menyusahkan dan mempermalukan keluargamu. Trus, mau apa kalian semua di masa depan....?? Masih bisa bertaubat dan siap menerima sanksi akibat perilaku kotor kalian. Allahu musta'an.",Neutral
"gue yakin mahasiswa UI itu pinter pinter, cuma orang pinter doang gak menjamin akhlak-attitude",Neutral
susah buat rakyat miskin kl berduit dan kaya ngga ada yg ngga mungkin di negri konoha  ini semua bisa di beli😂,Neutral
yg live ternyata pelaku juga🥲,Neutral
"Pantas saja hukum dan peradilan di Konoha amburadur dan suram, koruptor dan ordal merajalela ga habis habis bahkan makin meningkat",Neutral
"hukuman yang pantas bagi mereka....""PECAT"", kalo gak dipecat berarti UI mentolerir perilaku mereka....",Advocacy
Untung gw jelek🙂,Neutral
​@Smsulaimah aspal 😂,Neutral
takut reputasi FH UI jadi rusak bang? MAKANYA KELUARKAN MEREKA SECARA TDK HORMAT. Tunjukin kalau FH TIDAK SUDI punya mahasiswa pelanggar hukum kayak gitu. Ga usah mikir kasian masa depan mereka rusak. BIAR MEREKA DIPUNGUT SAMA KAMPUS LAIN,Advocacy
"Kuliah mahal mahal, jadi anak berpendidikan berakhlak, kalo lulus jadi pengamat tatanegara, pengamat ijazah, pengamat beras dan serba pengamat",Neutral
ngelecehin apaa? kak cuma nanya soal nya ketinggalan info,Neutral
"di situ dituliskan ""Hukum akan cek isi konteksnya"" berarti kalau yg disebarkan bukan konteks kerahasiaan universitas misalnya, ataupun rahasia negara, proyek atau apapun yg menyangkut detail resmi yg nyebar aman2 aja gk bakal dituntut UU ITE. Apalgi konteksnya itu pelecehan seksual bakal harus dihukum para pelakunya.",Advocacy
"kalo anakku kuliah di PTN , justru aku arahkan utk ikut organisasi dan itu bnyk nilai tambah yg dia dpt selama dia mmng bnr² di organisasi yg sehat. dia jg lulus tepat waktu dan Alhamdulillah skrng kerja di tmpt yg mapan.",Neutral
"ga baru, emang hal umum yg antara ga diramein ke publik, atau ga ketahuan siapa siapa aja. banyak bgt (dari mata & telingan gua sendiri sebagai mahasiswa Univ top 5 di Indonesia ini)",Neutral
iya pls takut bgt ..,Neutral
"SEDIHHH BGTT waktu ibu dosen nya bilang “pas saya liat grupnya, ternyata nama saya juga ada di situ.” 😭",supportive
knp bg gua engga ngerti tolong jelasin,Neutral
"Semua rata rata universitas Indonesia 70% Sama kok banyak dosen dosen juga yg melecehkan murid nya, udh bukan rahasia umum",Neutral
peluk jauh untuk semua perempuan 🫂🥹,supportive
"Mahasiswa hukum UI kok kosong attitudenya, memprihatinkan.",Neutral
"tapi udah ga berekspektasi tinggi ke putusan UI sih, mantan Ketua BEM si Melki Huang yang dulu udah terbukti melakukan KS ga dapat sanksi sepantasnya & malah jadi Wakil Ketua DPD PDI sekarang",supportive
"TANDAIN NAMA PELAKU
1. Simon Patrich Bungaran Pangaribuan
2. Muhammad Valenza Rabbani Putra Harisman
3. Irfan Khalis
4. Munif Taufik
5. Keona Ezra Pangestu
6. Dipatya Saka Wisesa
7. Muhammad Ahsan Raikel Pharrel
8. Mohammad Deyca Putratama
9. Danu Priambodo
10. Reynan Fayyaz Rizal
11. Muhammad Nasywan Azizullah
12. Muhammad Kevin Ardiansyah
13. Rafi Muhammad
14. Nadhil Zahran Fernandi
15. Anargya Hay Fausta Gitaya",Advocacy
"dan pelajaran terakhir dari kasus ini yaitu pentingnya kita melihat apa yg akan kita tuai atas tindakan atau ucapan yg akan disampaikan, bukan melakukan tindakan atau ucapan tanpa berfikir kedepannya. Dan semua itu butuh pondasi iman dan akhlak.",Advocacy
kekerasan susu mbg,Neutral
"mereka yang diteriakin itu para pelaku kejahatan seksual, intinya mereka ketahuan ngelecehin banyak perempuan termasuk dosen dan temen2 mereka sendirii.. akhirnya dibuat lah sidang begini buat para pelaku sebagai pertanggung jawaban meeka",Neutral
sayang banget ya sekolah nya..gak di pake dengan sebenar2 nya,Neutral
😂😂 sistem pendidikan di Indonesia pantesan nggak bermutu terjun dimasyarakat,Neutral
"Mahasiswi klo bisa jgn pake baju ketat dah, kemeja bagus, tapi klo adanya kaos ketat minimal pake outer/ croptop",VictimBlaming
yang mana sih keponakan dekan?,Neutral
"sama kayak lu, berita tentang apa bahasnya apa",Neutral
​@denybagusputrabegini rupenya is🥭😞,Neutral
oh iya makasih infonya aku kira bener 20 soale tadi sempet baca😭,Neutral
Emang enggak d DO semua? Apa harusnya emang enggak d DO semua? Nanya hloo nanyaa,Neutral
Harus di DO.....dan di blacklist dr semua Perguruan Tinggi.,Advocacy
itu kenapa? (g nrima jks),Neutral
"bahkan dosen nya pun jadi korban,
ga habis fikri gue😭😭",supportive
"😂😂😂 ini ramai karena tersorot   kalu ga tersorot aman  aman sj ,😂😂",Neutral
herankan apalagi ui Universitas paling ngetop se indonesia loh,Neutral
yakan jahat banget ekonomi nya😅,Neutral
"yang buat aku tak bisa berkata-kata adalah, UI itu kampus terbaik dalam berbagai hal, termasuk hal ini",Neutral
"Pelecehan nya di apain emangnya?
Ada yg tahu ?",Neutral
"setahuku chat wa doang. tapi agak gimana gt ya.. kalo chat di wa aja separah itu, apalagi kalo lg nongkrong?",Neutral
UNIVERSITAS INDONESIA,Neutral
GENERASI INDONESIA EMAS 2045 🥹🥹,Neutral
minta di hukum😏,Neutral
Degradasi Moral mahasiswa Indonesia! Pikirin dong masa depan bangsa kalian!! Bukannya berbuat hal yang menghina diri kalian sendiri,Neutral
mana ganteng? gantengan juga hulk kata gua mah,Neutral
malu malu in bngt,Neutral
"Belum jadi apa2 sudah bejat, apalagi kaau sdh jadi dan punya kuasa. Bayangkan saja",Neutral
"DO  ,, klu sampe lulus ngk pantas ada nama gelar SH dibelakang mereka😂",Advocacy
"ya biar ngerti hukum trus korup lah. belom jadi hukum aja udah kek begini, apalgi kerja terus menjadi hukum🥺",Neutral
"ya emang kocak, logika sederhana itu aja lama banget sadarnya, udah 2026",Neutral
"FH UI Otak Mesum, dijamin tdk akan pernah diterima di perusahaan bro.. saya juga lulusan hukum, tlg aturan jangan di langgar. Dungu sekali",Advocacy
mereka bisa turun gimana kak? gue ketiduran😭😔,Neutral
"masa SD di suruh contoh kakak"" kelas ehh kok malah kebalikan ya",Neutral
Itu klo ga di jgain kyknya teazzinya udh melayang ke muka pelaku kak,Neutral
Emang chat apa?,Neutral
Opinimu tidak tepat berorganisasi tidak membuat rusak tapi melatih interaksi sosial kecuali anakmu bakat introvert,Neutral
gpp kak gk usah diperjuangin biar saingan gw berkurang,Neutral
kalo lo denger ibu/kakak/adek perempuan lo diomongin gitu lu bakal fine2 aj??!!,supportive
"gnteng""plnger",Neutral
Gilakk....perilaku nya udh kayak preman yg gk berpendidikan...harus DIPECATTT.....,Advocacy
berasa idol kpop aja di jagain😂,Neutral
Down Grade 😂😂😂memalukan sekali😂,Neutral
"ngeri ya
dunia pendidikan yg diinginkan smua anakw negeri ni termasuk gw yg gak kesampean
smoga Allah jaga Murid2 gw dri ngerinya zaman🤲🥺☹️",Neutral
Generasi jebolan covid19 dan gen z,Neutral
"uisu saja bisa bertindak tegas kepada anak koas, gmn kampus ui GK bisa bertindak tegas😂",Advocacy
aq bru tau emanngchat nya apa sih smpe sebegitu ramenya,Neutral
ini baru lucu😂😂,Neutral
"Singkat aja ya kak, mereka itu melecehkan mahasiswa lain di sebuah grup chat mereka, kata kata gak senonoh+melecehkan area privasi di dalam grup, katanya bahkan bukan mahasiswa doang, tapi dosen juga du lecehkan (yang di maksud di lecehkan itu. mereka ngomong area priv di grup dan ngomongin hal yang gak senonoh lainnya) maaf kalo tidak mengerti ya🙏🏻",Neutral
salfok pas 00:26 ga sengaja kecolok apa emg dicolokin si WKWKWK LUCUBGT,Neutral
yg cowok ajah kesel apalagi ceewekk,supportive
Jam berapa? liat dimana,Neutral
